-,-,-
7, -17, 982
24, 0, 1007
24, 0, 1007
15, -8, 1001
14, -7, 1001
15, -8, 999
15, -8, 999
16, -8, 1000
16, -8, 1000
16, -8, 1002
15, -8, 999
15, -8, 999
15, -9, 999
16, -8, 1000
16, -8, 1000
16, -8, 1001
16, -8, 1001
16, -8, 1000
16, -8, 1000
16, -8, 1000
15, -8, 1001
15, -8, 1000
16, -8, 1001
16, -8, 1001
15, -8, 1000
15, -8, 1000
16, -8, 1002
16, -8, 1002
16, -7, 1001
16, -9, 999
16, -8, 999
16, -8, 999
16, -9, 1001
16, -8, 1001
15, -8, 1000
15, -8, 1000
15, -8, 1000
16, -8, 1001
15, -8, 1000
15, -9, 999
15, -9, 999
15, -8, 1000
16, -8, 1001
15, -8, 1000
15, -8, 1000
16, -8, 1000
15, -8, 1000
15, -8, 1000
15, -8, 1000
16, -8, 1000
16, -8, 1001
16, -7, 1000
15, -8, 1001
15, -8, 1001
15, -8, 1002
16, -8, 999
16, -8, 1001
16, -8, 1001
16, -8, 1002
15, -8, 1001
15, -8, 1000
15, -8, 1000
15, -8, 1001
15, -8, 1001
15, -8, 1000
15, -8, 1001
15, -8, 1001
15, -8, 1001
15, -8, 1001
15, -8, 1001
15, -8, 1001
15, -8, 1001
14, -8, 1001
15, -8, 1001
15, -8, 1001
15, -7, 1001
-46, 57, 1002
53, 98, 999
46, 82, 1005
46, 82, 1005
42, 127, 999
60, 30, 1005
59, -5, 996
59, -5, 996
50, -7, 1009
61, 31, 998
89, 53, 999
89, 53, 999
88, 39, 998
77, -6, 998
77, -6, 998
58, -35, 1005
57, -32, 999
62, -16, 990
53, -13, 1013
53, -13, 1013
42, -52, 1004
41, -58, 998
49, -31, 993
19, -67, 1013
19, -67, 1013
-1, -74, 1004
31, -15, 994
39, 18, 1003
38, -15, 992
38, -15, 992
22, -35, 992
30, -18, 1011
10, -63, 1017
17, -70, 988
17, -70, 988
79, -63, 992
59, -56, 989
59, -65, 1032
58, -61, 981
58, -61, 981
47, -26, 1011
