-,-,-
41, 5, 998
41, 5, 998
26, -3, 1001
19, -10, 1002
19, -10, 1002
18, -10, 1001
18, -11, 1000
18, -12, 1001
-2, -28, 1001
-22, -16, 1001
-35, -16, 1003
-35, -10, 1003
-71, 9, 1003
-132, 5, 999
-199, -2, 1000
-242, 0, 1022
-197, 20, 984
-197, 20, 984
-162, 31, 1011
-142, 36, 992
-146, 34, 1005
-102, 10, 997
-53, 0, 1002
-53, 0, 1002
-144, 37, 1000
-151, 32, 1018
-167, 11, 997
-62, -36, 993
-97, -12, 1006
-97, -12, 1006
-67, -10, 1004
132, -66, 1007
143, -41, 998
180, -33, 998
248, -40, 990
285, -41, 997
285, -41, 997
394, -75, 1008
322, -79, 982
290, -58, 1016
364, -94, 990
340, -115, 999
115, 4, 1002
115, 4, 1002
449, -160, 993
380, -98, 990
444, -110, 1011
458, -116, 981
408, -80, 1000
354, -71, 987
354, -71, 987
345, -95, 1010
285, -86, 1004
230, -84, 1006
107, -35, 976
152, -83, 1017
42, -50, 979
42, -50, 979
8, -39, 1011
-171, 7, 1024
-192, 14, 985
-90, -25, 1005
-90, -25, 1005
-69, 353, 1011
-621, -272, 983
-363, 56, 1004
-61, -90, 1016
-265, 44, 1000
-395, 106, 1001
-329, 107, 1001
-282, 54, 992
-282, 54, 992
-250, -16, 1007
-274, -10, 1005
1, -13, 996
-195, 76, 1004
-38, 21, 1002
54, -39, 1002
54, -39, 1002
-,-,-
-117, 29, 997
-117, 29, 997
-123, 3, 994
-210, 23, 1032
-239, 51, 977
-240, 22, 1011
-231, -4, 1008
-211, -36, 998
-211, -36, 998
-273, 5, 991
-261, 20, 1002
-317, 28, 995
-123, -75, 1016
-191, 14, 980
-147, 15, 1029
-147, 15, 1029
-103, -1, 986
-11, -88, 1010
-107, -94, 962
99, -84, 1005
58, -82, 1005
291, -93, 1006
291, -93, 1006
379, -88, 984
457, -85, 999
488, -59, 984
488, -35, 990
566, -49, 1005
613, -76, 994
613, -76, 994
276, 9, 997
491, -117, 1009
496, -130, 980
551, -87, 999
590, -107, 989
590, -107, 989
505, -103, 1006
394, -66, 988
299, -66, 999
231, -83, 989
162, -106, 1007
5, -73, 982
5, -73, 982
-63, -47, 993
17, -66, 1006
-73, -16, 1021
-176, 33, 984
-214, -12, 1022
-214, -12, 1022
-414, 44, 991
-222, -92, 1001
-282, 16, 996
-405, 69, 986
-410, 38, 1021
-436, 58, 997
-308, -6, 1005
-308, -6, 1005
-322, 30, 1000
-137, -15, 1000
-,-,-
16, -10, 1002
-19, -10, 989
-44, -16, 1000
-98, -13, 1002
-128, -21, 1000
-240, -38, 1009
-527, 40, 981
-527, 40, 981
-535, 47, 1021
-391, 37, 990
-212, 15, 1023
-19, -29, 984
-121, 42, 998
-194, 59, 1006
-194, 59, 1006
-100, 16, 1006
-164, 17, 990
-159, 0, 1009
-159, -29, 987
-112, -49, 986
-26, -51, 1029
133, -72, 973
133, -72, 973
153, -75, 1011
266, -81, 987
391, -69, 1018
504, -55, 971
545, -77, 1006
545, -77, 1006
542, -101, 1004
547, -95, 992
591, -131, 998
173, -6, 995
458, -177, 990
526, -177, 990
559, -123, 997
559, -123, 997
557, -96, 1004
509, -85, 979
447, -67, 993
437, -79, 1004
312, -42, 979
206, -36, 1032
206, -36, 1032
92, -47, 961
45, -58, 1017
-23, -62, 1005
-240, -1, 996
-318, -22, 994
-192, -127, 997
-192, -127, 997
-358, -66, 1011
-631, 42, 1012
-702, 89, 996
-575, 56, 1011
-396, -4, 978
-454, 15, 1016
-90, -12, 1002
-292, 59, 991
-,-,-
21, -10, 991
21, -10, 991
-3, -10, 976
-91, 13, 1021
-149, 17, 1004
-315, 13, 996
-315, 13, 996
-447, 37, 1018
-482, 20, 987
-443, -7, 1003
-352, -44, 993
-271, -51, 1020
-298, -42, 997
-198, -35, 1000
-121, -51, 985
-121, -51, 985
-6, -57, 1031
-62, -17, 973
23, -17, 978
48, 11, 1014
48, 11, 1014
117, -19, 993
63, -16, 985
154, -53, 1006
242, -70, 1010
208, -56, 980
208, -56, 980
301, -80, 987
439, -98, 1017
472, -81, 983
593, -69, 1007
718, -100, 985
388, -45, 991
388, -45, 991
512, -127, 1000
570, -182, 986
504, -118, 1001
544, -125, 978
491, -95, 985
405, -67, 1026
370, -92, 974
370, -92, 974
303, -80, 985
135, -6, 1021
162, -57, 990
42, -49, 999
-143, 15, 984
-143, 15, 984
-339, 8, 1008
-409, -41, 1022
-406, -122, 988
-299, -100, 1007
-506, 90, 1006
-506, 124, 975
-504, 122, 1016
-446, 32, 1000
-446, 32, 1000
-287, -66, 999
-,-,-
24, -11, 1005
11, -5, 959
-65, 3, 1027
-65, 3, 1027
-63, -17, 988
-121, -8, 1002
-164, 17, 996
-225, 36, 1010
-228, 31, 999
-228, 31, 999
-320, -20, 1006
-448, 72, 1004
-434, 43, 988
-303, -5, 1011
-291, 22, 1003
-162, -6, 999
-162, -6, 999
-113, -1, 1014
-177, 36, 989
-25, -10, 999
132, -46, 1004
83, -24, 992
83, -24, 992
108, -53, 1001
171, -128, 1012
243, -166, 986
287, -133, 1014
392, -138, 986
503, -157, 996
665, -171, 1007
755, -152, 987
755, -152, 987
296, -55, 992
566, -205, 994
644, -192, 996
595, -159, 996
593, -166, 1003
598, -158, 984
474, -115, 996
408, -119, 1003
408, -119, 1003
311, -81, 997
106, -23, 994
143, -86, 997
-1, -92, 1007
-115, -80, 977
-472, 48, 1020
-472, 48, 1020
-714, 98, 1004
-627, -45, 1000
-574, -40, 1005
-679, 69, 1002
-639, 102, 993
-430, 39, 1014
-144, -68, 993
-13, -38, 999
-13, -38, 999
-16, -11, 1004
-,-,-
-111, 48, 992
-166, 47, 1003
-167, -7, 999
-167, -7, 999
-280, -52, 1007
-455, 2, 1013
-477, 2, 1011
-310, -41, 964
-244, -35, 998
-152, -26, 1005
-64, -9, 1017
-64, -9, 1017
-188, 51, 985
-61, 4, 987
44, -8, 991
44, -8, 991
-38, 32, 962
-35, 28, 992
67, -22, 1020
-22, -34, 996
-22, -34, 996
41, -82, 1006
105, -98, 983
286, -99, 990
368, -72, 1016
555, -110, 996
555, -110, 996
707, -118, 980
702, -143, 1000
396, -130, 998
364, -128, 998
453, -242, 996
410, -182, 998
460, -182, 991
464, -158, 986
464, -158, 986
435, -130, 993
396, -126, 1004
358, -106, 991
252, -89, 1008
236, -85, 983
109, -66, 1005
4, -28, 1009
4, -28, 1009
-95, 18, 1008
-202, 21, 982
-219, -23, 1015
-453, 15, 1002
-554, 35, 996
-554, 35, 996
-697, 94, 1015
-572, 37, 993
-429, 10, 1003
-,-,-
-169, -40, 1002
-290, -46, 988
-406, 23, 1015
-406, 23, 1015
-397, 38, 996
-269, 2, 1006
-154, -18, 988
-121, -3, 1012
-151, 24, 999
-65, 7, 1016
-65, 7, 1016
-66, 3, 996
-55, 5, 989
-18, -13, 991
-18, -13, 991
-56, 18, 998
-2, -9, 996
31, -37, 1018
39, -50, 993
39, -50, 993
79, -54, 988
120, -56, 978
197, -84, 992
254, -102, 1001
254, -102, 1001
295, -110, 1006
386, -93, 966
470, -92, 999
545, -79, 1001
404, -53, 996
341, -106, 996
407, -165, 996
407, -165, 996
405, -116, 1001
472, -102, 1004
482, -71, 978
492, -65, 1007
432, -52, 988
300, -32, 998
236, -47, 1014
236, -47, 1014
201, -83, 975
152, -101, 991
9, -60, 996
-39, -40, 1013
-214, -3, 1000
-162, -70, 997
-162, -70, 997
-325, -30, 1018
-368, -13, 999
-466, 19, 985
-542, 60, 1013
-532, 52, 996
-488, -5, 1004
-418, -19, 1006
-153, -5, 996
-,-,-
28, -31, 1004
-54, 14, 993
-87, -5, 994
-178, -1, 1014
-178, -1, 1014
-351, 4, 998
-462, 49, 1012
-440, 26, 993
-409, 24, 999
-304, 5, 1008
-304, 5, 1008
-230, -7, 1006
-265, -4, 997
-137, -18, 1010
-128, -16, 989
-1, -51, 1003
172, -96, 986
172, -96, 986
195, -56, 986
54, -7, 996
132, -30, 999
204, -48, 1004
332, -60, 997
332, -60, 997
425, -64, 1008
482, -73, 992
558, -89, 1000
584, -99, 984
390, -94, 1005
177, -35, 1000
177, -35, 1000
370, -155, 984
412, -164, 999
409, -110, 995
420, -79, 1008
395, -69, 993
400, -63, 981
400, -63, 981
349, -45, 1007
306, -47, 992
191, -56, 1004
121, -49, 983
148, -43, 1012
77, -31, 992
77, -31, 992
43, -72, 994
-119, -27, 1018
-298, 39, 979
-253, -1, 1030
-212, -78, 966
-212, -78, 966
-423, 6, 1014
-713, 95, 1003
-737, 94, 992
-434, -24, 1011
-299, -71, 999
-121, 2, 1003
-224, 44, 999
-,-,-
19, -11, 998
18, -10, 980
-104, 17, 1004
-116, -2, 997
-178, -14, 998
-365, 4, 999
-365, 4, 999
-431, 30, 999
-500, 39, 1004
-415, 0, 1020
-351, 1, 1004
-351, 1, 1004
-318, 24, 974
-176, -11, 1018
-139, -17, 993
-70, -30, 1002
-143, -5, 998
9, -52, 1001
9, -52, 1001
122, -67, 995
108, -13, 987
131, -32, 1007
